1864,구즉동주민센터입구,15
2333,테크노밸리12단지,15
275,중말,16
833,목달동/송곡가든,16
1213,사기점골,16
1239,오동,16
1242,우명동종점,16
1259,상보안,16
1357,상보안,16
1666,대덕터널입구,16
1790,협진운수,16
1984,신동,16
2256,용정초등학교,16
311,냉천골종점,17
1141,GS칼텍스저유소,17
1263,고릿골구름다리,17
1787,대덕밸리용신교,17
330,세천치안센터,18
388,대성동,18
389,대성동,18
1347,뒷골,18
1775,뉴로스,18
2387,봉우재네거리,18
331,대청동주민센터,19
771,사기정골,19
1248,어곡교,19
1446,성북1통,19
1689,방현동,19
1841,대동,19
1964,성북1통,19
2438,둔곡2교,19
770,정생2동,20
772,사기정골,20
1421,성북1통마을회관,20
1840,대동,20
2163,장고개삼거리,20
766,정생2동,21
1179,대추벌,21
1838,대동,21
2278,금강로하스대청공원,21
319,효평삼거리,22
321,효평삼거리,22
2273,진골마을,22
1061,시청환승지,23
1245,우명2구,23
1280,둔천초등학교,23
1353,중리마을,23
1668,한빛탑,23
1839,대동,23
307,원주산.양지말,24
444,천동휴먼시아,24
755,대전청소년수련마을,24
1195,노루벌,24
1247,어곡교,24
1271,원정림,24
1683,대덕대학,24
2092,소월아파트,24
491,옛터민속박물관,25
1131,가수원동,25
1455,방동길,25
2159,대덕우체국네거리,25
1265,벌말,26
1269,모세골,26
1345,벌말,26
1441,삼박골,26
1786,대덕밸리용신교,26
2027,동아교재,26
2207,산디마을삼거리,26
2267,평촌동,26
773,도리뫼,27
774,도리뫼,27
1246,우명2구,27
2266,철도차량정비단,27
2337,샘물타운,27
1209,장전,28
1409,용계2통,28
1412,신생병원,28
1420,성북1통마을회관,28
1452,송정1통,28
1741,KAIST문지캠퍼스,28
1094,갑천역,29
1193,매노동,29
452,가오고등학교,30
453,가오고등학교,30
1208,장전,30
2003,오정동,30
1134,가수원중학교,31
1241,영골,31
1437,중세동,31
332,오리골,32
408,상소동산림욕장,32
409,상소동산림욕장,32
1716,자운초등학교,32
1747,한남대대덕캠퍼스,32
303,금성마을,33
1130,가수원동,33
1274,정림중학교,33
1739,국립문화재연구원,33
424,가목정마을,34
425,가목정마을,34
800,구완2교,34
1244,우명동,34
1400,화물터미널,34
1738,전력연구원,34
1776,조폐공사ID본부,34
2204,장동초등학교,34
1125,가수원도서관,35
2206,산디마을삼거리,35
16,장태산길곡길입구,36
359,주촌2구,36
758,정생1동,36
1220,기성초등학교,36
1773,미건테크노월드,36
283,동명초등학교,37
462,감나무골입구,37
463,감나무골입구,37
759,정생1동,37
781,모랭이,37
782,모랭이,37
1224,토옥골,37
1266,괴곡동.고리골,37
1706,합동군사대학교,37
1712,자운대네거리,37
437,홈플러스가오점,38
438,홈플러스가오점,38
1439,삼박골,39
2161,신일네거리,39
2167,을미기네거리,39
2282,신대차고지,39
398,소호동,40
399,소호동,40
1456,방동길,40
1724,외삼삼거리,41
1962,죽동천년나무아파트,41
2185,선바위,41
1186,기성농협,42
1438,중세동,42
1450,송정소징이,42
288,마산B지구,43
455,가는골입구,43
456,가는골입구,43
1278,선골,44
407,하소룡골,45
457,국제금식기도원,45
458,국제금식기도원,45
472,양구례마을,45
473,양구례마을,45
484,용수골,45
1093,갑천역,45
2019,부국레미콘,45
2186,새일초등학교,45
1713,자운대네거리,46
2377,국립대전숲체원,46
1652,한국전자통신연구원,47
304,금성마을,48
1277,선골,48
2017,공구백화점,48
1324,산직2동종점,49
1273,정림중학교,50
1686,대전광역시인재개발원,50
612,오류초등학교입구,51
1204,평촌2통마을회관,51
1221,기성초등학교,51
1788,협진운수,51
439,대별동,52
440,대별동,52
785,금동,52
830,금동,52
299,가는골,53
316,효평동,53
418,산흥초등학교,53
419,산흥초등학교,53
1216,새터,53
1322,오룡골,53
1405,밀머리네거리,53
454,가오동,54
464,효평고개소공원,54
465,효평고개소공원,54
1189,장평보유원지,54
1191,기성중학교,54
1199,사진개,54
1137,은아아파트,55
122,판암IC,56
410,소룡골입구,56
411,소룡골입구,56
429,하소2통,56
430,하소2통,56
1327,우명동낚시터,56
2016,공구백화점,56
485,홍도치안센터,57
486,홍도치안센터,57
1395,대정동,57
315,효평동,58
1212,사기점골,58
1396,용머리,58
1428,성북3통마을회관,58
39,대덕특구체육공원,59
1749,선비마을,59
2051,성우동산,59
422,산정마을,60
423,산정마을,60
1206,평촌2통마을회관,60
1328,우명동낚시터,61
477,솔랑마을아파트,62
478,솔랑마을아파트,62
1393,교도소입구,62
1399,교촌3통,62
1429,성북3통마을회관,62
1688,방현동,62
2151,기흥기계,62
2359,복용3통,62
431,만인산공원,63
432,만인산공원,63
1279,만년고등학교,63
1355,무도리종점,63
1198,사진개,64
1222,용태울,64
1404,밀머리네거리,64
2187,선바위,64
1234,장태산길곡길입구,65
2164,장고개삼거리,65
1217,새터,66
1690,화암네거리,66
416,삼괴동/덕산마을,67
417,삼괴동/덕산마을,67
2392,낭월공영차고지기점,67
460,세천공원,68
461,세천공원,68
1726,군수사령부,68
1758,태광산업중앙연구소,69
1225,토옥골,71
1635,금강유역환경청,71
441,효동주민센터,72
1190,장평보유원지,72
1067,둥지네거리,73
1416,학하동,73
5,안아감마을,74
1466,알로에농장,74
1680,중소벤처기업청,74
446,세정골,76
791,안복수길,76
790,안복수길,77
1340,구봉고등학교,77
1442,구억들,77
742,한빛고교,78
743,한빛고교,78
1413,신생병원,78
1138,은아아파트,79
1445,성북동산림욕장,79
2162,대덕우체국네거리,80
382,하늘채2차아파트,81
2020,부국레미콘,81
1231,장안동,82
2213,장동2구,82
435,만인산휴양림,83
436,만인산휴양림,83
1746,한남대대덕캠퍼스,83
2047,대한통운종점,83
2188,새일초등학교,83
178,대전역동광장,84
396,소호2동,84
397,소호2동,84
1419,계산동,84
1230,장안동,85
1350,원정동,85
1397,대정2통,85
1753,LH연구원,85
287,마산B지구,87
414,삼괴동/송촌마을,87
415,삼괴동/송촌마을,87
433,청소년수련원,87
434,청소년수련원,87
1425,성북2통동구나무,87
1339,구봉고등학교,88
284,동명초등학교,89
2165,한국교통안전공단,89
1423,성북2통마을회관앞,91
1743,문지네거리,91
406,낭월공영차고지,92
507,대종로네거리,93
2166,을미기네거리,93
655,유천네거리,94
657,유천네거리,94
1467,알로에농장,95
492,옛터민속박물관,96
746,안영동검바위마을,96
747,안영동검바위마을,96
1692,삼양사중앙연구소,96
2369,구즉동주민센터,96
2348,테크노밸리1단지,97
451,상소룡골,99
1687,한국연구재단,100
2389,도안중학교,100
768,답적골,102
769,답적골,102
1394,대정동,102
2192,상서삼거리,102
2371,구즉초등학교,102
1440,구억들,103
2201,태양마을,105
322,직동종점,106
442,천동초등학교,106
443,천동초등학교,106
470,삼성2동,106
294,비룡동입구,107
327,세천동,107
328,세천동,107
246,삼성2동,108
40,대덕특구체육공원,109
745,안영생활체육단지,109
1202,평촌2통아래뜸,109
2310,길치근린공원네거리,109
468,대전대학교동문,110
469,대전대학교동문,110
744,안영생활체육단지,110
1229,장안동종점,110
1253,용촌2통,110
1283,만년동,110
636,태평중학교,111
1407,용계동종점,111
2153,한국교통안전공단,113
1252,용촌2통,114
1650,한국화학연구원,114
776,어남동,115
775,어남동,116
149,대전대학교,117
383,은어송중학교입구,118
1223,용태울,118
2178,대전이문고,118
2021,제일사료,119
509,대종로네거리,121
19,진잠타운아파트,122
450,우송대동캠퍼스,122
2257,동일스위트리버스카이,123
779,한국무예연수원,124
780,한국무예연수원,124
1748,선비마을,124
1291,천연기념물센터,125
276,중말,126
1211,평촌1통마을회관,126
2026,동아교재,126
2147,목상동주민센터,129
300,가는골,130
394,장척동,132
395,장척동,132
412,공주마을,132
413,공주마을,132
1657,SK뷰아파트,132
1752,LH연구원,132
1718,안산산성,134
1210,평촌1통마을회관,136
1386,진잠타운아파트,136
1364,관저더샵1단지,138
1417,학하동,138
1679,한국타이어중앙연구소,138
1691,국가정보자원관리원,139
32,자운상가,140
2094,그린아파트,140
1185,기성농협,141
1430,세동종점,142
1693,화암네거리,142
1872,중앙백신연구소,143
27,선바위,144
1957,원내동공영차고지,144
2155,기흥기계,144
2189,선바위삼거리,145
1656,한국표준과학연구원,146
313,원마산,147
2123,서오아파트,148
2158,효성신탄진공장,148
123,판암차량기지,149
1981,현대아울렛북문,150
2208,장동지구산림욕장,150
1784,대덕밸리용신교,151
1330,다온숲아파트,152
1054,정부청사광장,154
1871,중앙백신연구소,154
1932,청벽산공원네거리,154
1378,원내동공영차고지,155
2149,한국타이어후문,155
1392,교도소입구,156
1767,탑립1통,156
1987,대광로제비앙아파트,156
384,대성삼거리,158
385,대성삼거리,158
1254,봉곡동종점,158
2248,신탄진동행정복지센터,158
1381,원내동,159
1926,쉼터공동체,159
490,판암역종점,160
1463,계룡과선교,160
1671,스마트시티2단지,160
1766,탑립1통,160
1925,쉼터공동체,164
1980,자운근린공원,164
2145,한국타이어,164
1203,평촌2통아래뜸,165
1228,용바위,165
1931,청벽산공원네거리,165
1227,용바위,166
314,천개동종점,167
1646,한화솔루션중앙연구소,167
238,홍도동현암아파트,168
390,운전면허시험장,169
391,운전면허시험장,169
1331,다온숲아파트,169
1918,대한항공기술연구원,169
941,샤크존,171
1249,원정1통마을회관,171
1349,원정1통마을회관,171
1282,만년중학교,172
1341,도솔초등학교,172
1763,원촌동솔로몬로파크,172
392,오투그란데아파트,173
393,오투그란데아파트,173
1651,한국에너지기술연구원,174
1124,가수원도서관,175
1781,탑립육교,175
1889,한국가스기술공사,175
1917,대한항공기술연구원,175
2071,선비마을4단지후문,175
1148,진잠네거리,176
2209,장동지구산림욕장,176
1643,신성동주민센터,177
2349,테크노밸리7단지,177
2177,대전이문고,182
1464,계룡과선교,183
1633,대전지방기상청,183
724,한국효문화진흥원,184
725,한국효문화진흥원,184
2280,선비마을3단지후문,184
2331,애경연구원,184
1292,천연기념물센터,185
1887,한국가스기술공사,185
1342,도솔초등학교,186
1422,성북2통마을회관앞,186
2106,중리근린공원,186
1370,정림동종점,188
181,대전역동광장,189
285,추동취수장,189
1641,KT&G연구소,189
2014,동아연필,189
995,내동주민센터,190
1654,한국표준과학연구원,191
938,탄방역종점,193
1755,전민동주민센터,193
1737,송림마을1단지,194
943,샤크존,195
2141,한밭아파트,196
2332,아리랑보쌈앞,196
884,도마중학교,198
2039,당아래,198
1359,관저동예미지아파트,199
1363,관저더샵2단지,200
1418,계산동,200
447,대전대학교,201
1638,성덕중학교,202
404,구도동,203
405,구도동,203
913,가수원교,203
1649,시민천문대,203
420,상소동(노인병원),204
421,상소동(노인병원),204
1403,교도소,204
154,새울,205
261,대성여자고등학교,205
1369,정림동종점,205
1642,신성동주민센터,205
1648,시민천문대,206
1677,한국기계연구원,206
1365,둔원고등학교,207
2139,석봉네거리,207
2175,석봉네거리,207
2246,신탄진동행정복지센터,207
1678,한국기계연구원,209
34,이사동상사,211
225,구샤또호텔,211
290,비룡교차로,211
2096,그린아파트,212
2180,덕암동,212
1103,진달래아파트,214
124,판암차량기지,218
2018,제일사료,218
1765,원촌삼거리,219
740,상당,221
739,상당,222
1334,느리울초등학교,222
2184,대덕구보건소,222
366,석천들마을아파트,223
367,석천들마을아파트,223
426,대전제2시립노인병원,223
646,서남부터미널종점,223
858,변전소네거리,223
2191,상서삼거리,223
1305,가수원네거리,224
2053,정수장,224
801,목양초등학교,225
2152,효성신탄진공장,225
1723,외삼1통,226
1719,안산동,227
1795,관평중학교,227
1715,군인아파트,228
1801,웅진에너지,228
1913,한국방송통신대학교,228
635,태평중학교,229
1771,탑립동,230
1104,서대전고등학교,231
1800,웅진에너지,231
31,탄동농협,232
260,대성여자고등학교,232
1780,탑립육교,232
1785,대덕밸리용신교,232
1794,관평중학교,232
2183,대덕구보건소,232
1360,관저동예미지아파트,233
2119,대덕구청소년수련관,236
2120,대덕구청소년수련관,236
1912,한국방송통신대학교,237
217,용전동주민센터,240
1385,한승미메이드아파트,240
